ID	# PATHWAYS CONTAINING	AVG. DIFF. EXP. CASES	DEGREE	IS EXCEPTION?
ENSG00000133636	0	.00	1	true
ENSG00000151065	0	.00	2	true
ENSG00000197780	0	.00	3	true
ENSG00000151067	0	.00	3	true
ENSG00000132305	0	.00	2	true
ENSG00000092201	0	.00	2	true
ENSG00000172482	0	.00	2	true
ENSG00000273936	0	.00	1	true
ENSG00000196455	0	.00	1	true
ENSG00000132780	0	.00	1	true
ENSG00000282899	0	.00	4	true
ENSG00000132781	0	.00	2	true
ENSG00000061938	0	.00	1	true
ENSG00000173334	0	1.00	1	false
ENSG00000111880	0	.00	1	true
ENSG00000077044	0	.00	1	true
ENSG00000171159	0	.00	1	true
ENSG00000119335	0	.00	3	true
ENSG00000157601	0	.00	1	true
ENSG00000261992	0	.00	3	true
ENSG00000118007	0	.00	2	true
ENSG00000122986	0	.00	1	true
ENSG00000101605	0	.00	1	true
ENSG00000122507	0	.00	7	true
ENSG00000164867	0	.00	6	true
ENSG00000138081	0	.00	4	true
ENSG00000102931	0	.00	2	true
ENSG00000163535	0	.00	1	true
ENSG00000142599	0	.00	1	true
ENSG00000153233	0	.00	1	true
ENSG00000135823	0	.00	4	true
ENSG00000135829	0	.00	3	true
ENSG00000172493	0	.00	1	true
ENSG00000135828	0	.00	1	true
ENSG00000277075	0	.00	1	true
ENSG00000172016	0	.00	1	true
ENSG00000035681	0	.00	2	true
ENSG00000198625	0	.00	4	true
ENSG00000111875	0	.00	7	true
ENSG00000131462	0	.00	4	true
ENSG00000177707	0	.00	4	true
ENSG00000006638	0	.00	1	true
ENSG00000135821	0	.00	2	true
ENSG00000198626	0	.00	1	true
ENSG00000006634	0	.00	1	true
ENSG00000120337	0	.00	2	true
ENSG00000143437	0	.00	2	true
ENSG00000141252	0	.00	4	true
ENSG00000186642	0	.00	1	true
ENSG00000107371	0	.00	2	true
ENSG00000105193	0	.00	1	true
ENSG00000102921	0	.00	1	true
ENSG00000122512	0	.00	1	true
ENSG00000050820	0	.00	3	true
ENSG00000196470	0	.00	1	true
ENSG00000131437	0	.00	1	true
ENSG00000174684	0	.00	2	true
ENSG00000048544	0	.00	2	true
ENSG00000197323	0	.00	2	true
ENSG00000197329	0	.00	2	true
ENSG00000007952	0	.00	1	true
ENSG00000083312	0	.00	3	true
ENSG00000140395	0	.00	1	true
ENSG00000165731	0	.00	2	true
ENSG00000164400	0	.00	3	true
ENSG00000140396	0	.00	5	true
ENSG00000119318	0	.00	1	true
ENSG00000145604	0	.00	5	true
ENSG00000138069	0	.00	1	true
ENSG00000085978	0	.00	2	true
ENSG00000037897	0	.00	1	true
ENSG00000164880	0	.00	1	true
ENSG00000163558	0	.00	1	true
ENSG00000185345	0	.00	2	true
ENSG00000048540	0	.00	1	true
ENSG00000185347	0	.00	1	true
ENSG00000163554	0	.00	1	true
ENSG00000053900	0	.00	18	true
ENSG00000108654	0	.00	6	true
ENSG00000164885	0	.00	3	true
ENSG00000165732	0	.00	7	true
ENSG00000234794	0	.00	2	true
ENSG00000134954	16	1.00	1	false
ENSG00000135801	0	.00	2	true
ENSG00000128272	0	.00	5	true
ENSG00000174697	0	.00	1	true
ENSG00000198646	0	.00	13	true
ENSG00000117118	0	.00	2	true
ENSG00000006611	0	.00	2	true
ENSG00000155876	0	.00	5	true
ENSG00000160050	0	.00	7	true
ENSG00000162231	0	.00	1	true
ENSG00000144747	0	.00	1	true
ENSG00000117594	0	.00	1	true
ENSG00000138075	0	.00	1	true
ENSG00000187514	0	.00	1	true
ENSG00000109971	0	.00	1	true
ENSG00000106462	0	.00	9	true
ENSG00000138071	0	.00	5	true
ENSG00000163565	0	.00	1	true
ENSG00000162236	0	.00	1	true
ENSG00000163568	0	.00	3	true
ENSG00000095752	0	.00	2	true
ENSG00000153201	0	.00	1	true
ENSG00000128245	0	.00	3	true
ENSG00000006606	0	.00	1	true
ENSG00000197343	0	.00	1	true
ENSG00000196497	0	.00	2	true
ENSG00000196498	0	.00	10	true
ENSG00000119772	0	.00	2	true
ENSG00000090060	0	.00	3	true
ENSG00000179914	0	.00	1	true
ENSG00000090061	0	.00	5	true
ENSG00000084623	0	.00	1	true
ENSG00000140374	0	.00	1	true
ENSG00000139372	0	.00	1	true
ENSG00000100714	0	.00	1	true
ENSG00000156709	0	.00	2	true
ENSG00000139370	0	.00	2	true
ENSG00000166603	0	.00	2	true
ENSG00000090054	0	.00	6	true
ENSG00000151491	0	.00	3	true
ENSG00000071794	0	.00	6	true
ENSG00000172057	0	.00	1	true
ENSG00000126070	0	.00	1	true
ENSG00000117139	0	.00	1	true
ENSG00000004897	0	.00	11	true
ENSG00000167941	0	.00	1	true
ENSG00000116288	0	.00	2	true
ENSG00000116285	0	.00	1	true
ENSG00000146904	0	.00	1	true
ENSG00000122958	0	.00	2	true
ENSG00000160075	0	.00	1	true
ENSG00000187531	0	.00	2	true
ENSG00000185359	0	.00	3	true
ENSG00000180900	0	.00	2	true
ENSG00000141699	0	.00	4	true
ENSG00000142544	0	.00	2	true
ENSG00000129675	0	.00	1	true
ENSG00000132842	0	.00	4	true
ENSG00000173273	0	.00	2	true
ENSG00000128342	0	1.00	1	false
ENSG00000171094	0	.00	1	true
ENSG00000107404	0	.00	1	true
ENSG00000196396	0	.00	2	true
ENSG00000128340	0	.00	3	true
ENSG00000175455	0	.00	2	true
ENSG00000023287	0	.00	6	true
ENSG00000105229	0	.00	1	true
ENSG00000072694	0	.00	1	true
ENSG00000198576	0	.00	1	true
ENSG00000197249	0	.00	1	true
ENSG00000206286	0	.00	4	true
ENSG00000178966	0	.00	3	true
ENSG00000060237	0	.00	1	true
ENSG00000081177	0	.00	3	true
ENSG00000119878	0	.00	1	true
ENSG00000166501	0	.00	6	true
ENSG00000120868	0	.00	1	true
ENSG00000185269	0	.00	4	true
ENSG00000131508	0	.00	9	true
ENSG00000276155	0	.00	6	true
ENSG00000188778	0	.00	3	true
ENSG00000166508	0	.00	2	true
ENSG00000105221	0	.00	2	true
ENSG00000166986	0	.00	1	true
ENSG00000104375	0	.00	4	true
ENSG00000163479	0	.00	2	true
ENSG00000164327	0	.00	4	true
ENSG00000007908	0	1.00	4	false
ENSG00000127022	0	.00	2	true
ENSG00000133703	0	.00	3	true
ENSG00000149273	0	.00	1	true
ENSG00000106546	0	.00	3	true
ENSG00000198561	0	.00	1	true
ENSG00000129682	0	.00	1	true
ENSG00000133704	0	.00	1	true
ENSG00000178971	0	.00	4	true
ENSG00000175463	0	.00	1	true
ENSG00000155959	0	.00	1	true
ENSG00000174136	0	.00	1	true
ENSG00000282844	0	.00	3	true
ENSG00000156802	0	.00	2	true
ENSG00000213809	0	.00	1	true
ENSG00000117676	0	.00	2	true
ENSG00000119402	0	.00	1	true
ENSG00000082014	0	.00	1	true
ENSG00000140463	0	.00	5	true
ENSG00000140464	0	.00	1	true
ENSG00000114166	0	.00	1	true
ENSG00000163001	0	.00	1	true
ENSG00000143977	0	.00	2	true
ENSG00000163481	0	.00	2	true
ENSG00000144827	0	.00	1	true
ENSG00000084676	0	.00	3	true
ENSG00000015676	0	.00	1	true
ENSG00000104365	1	.00	11	true
ENSG00000103035	0	.00	1	true
ENSG00000050405	0	.00	2	true
ENSG00000105246	0	.00	2	true
ENSG00000075702	0	.00	7	true
ENSG00000070010	0	.00	1	true
ENSG00000053918	0	.00	1	true
ENSG00000070495	0	.00	5	true
ENSG00000109606	0	.00	1	true
ENSG00000178982	0	.00	10	true
ENSG00000037474	0	.00	1	true
ENSG00000159069	0	.00	7	true
ENSG00000237808	0	.00	2	true
ENSG00000117228	0	1.00	1	false
ENSG00000178988	0	.00	1	true
ENSG00000153767	0	.00	1	true
ENSG00000204086	0	.00	2	true
ENSG00000164342	0	.00	1	true
ENSG00000137275	0	.00	7	true
ENSG00000117222	0	.00	9	true
ENSG00000085999	0	.00	1	true
ENSG00000186130	0	.00	3	true
ENSG00000165672	0	.00	1	true
ENSG00000165671	0	.00	1	true
ENSG00000149269	0	.00	14	true
ENSG00000103056	0	.00	3	true
ENSG00000179841	0	.00	3	true
ENSG00000103051	0	.00	2	true
ENSG00000075711	0	.00	5	true
ENSG00000131507	0	.00	1	true
ENSG00000198589	0	.00	1	true
ENSG00000086827	0	.00	7	true
ENSG00000131981	0	.00	3	true
ENSG00000152422	0	.00	4	true
ENSG00000178999	0	.00	7	true
ENSG00000028528	0	.00	2	true
ENSG00000151577	0	.00	7	true
ENSG00000143952	0	.00	3	true
ENSG00000119866	0	.00	1	true
ENSG00000225830	0	.00	2	true
ENSG00000165682	0	.00	1	true
ENSG00000142627	0	.00	4	true
ENSG00000106560	0	.00	2	true
ENSG00000070018	0	.00	10	true
ENSG00000276146	0	.00	4	true
ENSG00000255221	0	.00	1	true
ENSG00000140443	0	.00	6	true
ENSG00000123095	0	.00	1	true
ENSG00000245848	0	.00	1	true
ENSG00000095370	0	.00	2	true
ENSG00000073584	0	.00	6	true
ENSG00000280606	0	.00	11	true
ENSG00000115461	0	.00	1	true
ENSG00000118503	1	1.00	2	false
ENSG00000158195	0	.00	3	true
ENSG00000139433	0	.00	1	true
ENSG00000135077	0	.00	1	true
ENSG00000164362	0	.00	8	true
ENSG00000187486	0	.00	2	true
ENSG00000128309	0	.00	1	true
ENSG00000106991	0	.00	3	true
ENSG00000165215	0	.00	1	true
ENSG00000174175	0	.00	1	true
ENSG00000197272	0	.00	1	true
ENSG00000107831	0	.00	2	true
ENSG00000096696	0	.00	5	true
ENSG00000147050	0	.00	5	true
ENSG00000243678	0	.00	1	true
ENSG00000174177	0	.00	2	true
ENSG00000027697	0	.00	2	true
ENSG00000175029	0	.00	1	true
ENSG00000073111	0	.00	12	true
ENSG00000114127	0	.00	1	true
ENSG00000162191	0	.00	1	true
ENSG00000114126	0	.00	5	true
ENSG00000065978	0	.00	1	true
ENSG00000116786	0	.00	1	true
ENSG00000185291	0	.00	1	true
ENSG00000118513	0	.00	2	true
ENSG00000090905	0	.00	3	true
ENSG00000113272	0	.00	1	true
ENSG00000186141	0	.00	3	true
ENSG00000163041	0	.00	13	true
ENSG00000158186	0	.00	1	true
ENSG00000118518	0	.00	1	true
ENSG00000167881	0	.00	2	true
ENSG00000103479	0	.00	4	true
ENSG00000129646	0	.00	1	true
ENSG00000104320	0	.00	11	true
ENSG00000102145	0	.00	10	true
