428	PALLD	23022
429	UPK1A	11045
430	PAPD7	11044
431	ADRM1	11047
432	SLC35D2	11046
433	LOC644249	644249
434	RNF183	138065
435	OR2T3	343173
436	OR2T8	343172
437	OR2W3	343171
438	CT45A3	441519
439	CPSF6	11052
440	RTL8B	441518
441	NUDT21	11051
442	OGFR	11054
443	SAMD4A	23034
444	PHLPP2	23035
445	ZNF292	23036
446	PDZD2	23037
447	WDTC1	23038
448	XPO7	23039
449	KDM4B	23030
450	MAST3	23031
451	USP33	23032
452	FBF1	85302
453	ZNF813	126017
454	DOPEY1	23033
455	DDX52	11056
456	ATCAY	85300
457	ZPBP	11055
458	COL27A1	85301
459	OR6F1	343169
460	ABHD2	11057
461	WWP1	11059
462	OR5H15	403274
463	OR5K3	403277
464	OR5K4	403278
465	RAB35	11021
466	IFT27	11020
467	WDFY3	23001
468	GPR160	26996
469	DAAM1	23002
470	RNF11	26994
471	TRUB2	26995
472	MAPKBP1	23005
473	PLCH1	23007
474	FETUB	26998
475	KLHDC10	23008
476	CYFIP2	26999
477	OR5H14	403273
478	AKAP8L	26993
479	VAX1	11023
480	TDRKH	11022
481	TMPRSS13	84000
482	LILRB3	11025
483	LILRA1	11024
484	B3GNT5	84002
485	LILRA2	11027
486	LILRA3	11026
487	RBPMS	11030
488	DCAF4L2	138009
489	RAB31	11031
490	STK38L	23012
491	SPEN	23013
492	FBXO21	23014
493	GOLGA8A	23015
494	EXOSC7	23016
495	FAIM2	23017
496	CNOT1	23019
497	LGALS12	85329
498	RAB21	23011
499	DSTN	11034
500	ADAP1	11033
501	GTF2A1L	11036
502	ABCC11	85320
503	RIPK3	11035
504	STON1	11037
505	FUNDC1	139341
506	OR4A47	403253
507	ZNF440	126070
508	MIER3	166968
509	OR4C45	403257
510	ZNF285	26974
511	IL21	59067
512	TTC23L	153657
513	CHORDC1	26973
514	PARP15	165631
515	CCDC159	126075
516	SWSAP1	126074
517	IL24	11009
518	DGCR6L	85359
519	SHANK3	85358
520	SLC27A2	11001
521	SLC27A3	11000
522	SPINK5	11005
523	KIF2C	11004
524	KIAA1644	85352
525	CCDC85B	11007
526	LILRB4	11006
527	TMCO2	127391
528	OR2T35	403244
529	ARSK	153642
530	GLIPR1	11010
531	FAM81B	153643
532	AP3M1	26985
533	PABPC1	26986
534	ZNF491	126069
535	ZNF441	126068
536	SEC22A	26984
537	ZNF684	127396
538	FAM229B	619208
539	LIAS	11019
540	TRIM9	114088
541	KLK11	11012
542	TLK2	11011
543	OR2T27	403239
544	KDELR2	11014
545	TMSB15A	11013
546	ATF7	11016
547	KDELR3	11015
548	TMED1	11018
549	SNRNP27	11017
550	FAM111A	63901
551	ZNF567	163081
552	MTX3	345778
553	LOC105371242	105371242
554	TBC1D3	729873
555	KIAA0825	285600
556	GPR150	285601
557	SLC17A9	63910
558	VSTM2A	222008
559	DTWD2	285605
560	TTLL9	164395
561	TBC1D3H	729877
562	MANBAL	63905
563	DUSP21	63904
564	ZNF114	163071
565	FAM205A	259308
566	GPATCH3	63906
567	IL4I1	259307
568	NAPB	63908
569	SETSIP	646817
570	IL20	50604
571	RELL2	285613
572	ZBED8	63920
573	TNN	63923
574	CHTF18	63922
575	CNTNAP3B	728577
576	ZNF335	63925
577	CIDEC	63924
578	ELMO2	63916
579	BLOC1S5	63915
580	GALNT11	63917
581	FAM174A	345757
582	UBQLN3	50613
583	LINC02210-CRHR1	104909134
584	IL21R	50615
585	GALNT9	50614
586	ATP6V0A4	50617
587	IL22	50616
588	DEF6	50619
589	ITSN2	50618
590	CXorf56	63932
591	MRPS14	63931
592	ZNF667	63934
593	MCUR1	63933
594	PCIF1	63935
595	ZNF383	163087
596	C12orf73	728568
597	ITPA	3704
598	ITPK1	3705
599	ANKEF1	63926
600	ITPKA	3706
601	XPNPEP3	63929
602	ITPKB	3707
603	CHP2	63928
604	ITPR1	3708
605	ITPR2	3709
606	LOC105371253	105371253
607	LOC105372585	105372585
608	ITIH4	3700
609	CUZD1	50624
610	ITK	3702
611	CYHR1	50626
612	STT3A	3703
613	GEMIN4	50628
614	KANSL1L	151050
615	FAM227A	646851
616	PEG10	23089
617	NECAB3	63941
618	GPSM3	63940
619	FKBPL	63943
620	ZNF579	163033
621	SVIP	258010
622	DMRTC1	63947
623	DMRTC2	63946
624	KDM4C	23081
625	JAK1	3716
626	PPRC1	23082
627	JAK2	3717
